x-axis,1,2,3
second,Volt,Volt,Volt
-20.15000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-20.10000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-20.05000E-03,+3.82874990E+00,+3.87500000E+00,+3.93750000E+00
-20.00000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-19.95000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-19.90000E-03,+3.82874990E+00,+4.00000000E+00,+3.93750000E+00
-19.85000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-19.80000E-03,+3.95374990E+00,+3.93750000E+00,+4.00000000E+00
-19.75000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-19.70000E-03,+3.95374990E+00,+4.00000000E+00,+3.87500000E+00
-19.65000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-19.60000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-19.55000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-19.50000E-03,+3.82874990E+00,+3.87500000E+00,+3.87500000E+00
-19.45000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-19.40000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-19.35000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-19.30000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-19.25000E-03,+3.89124990E+00,+4.00000000E+00,+3.87500000E+00
-19.20000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-19.15000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-19.10000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-19.05000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-19.00000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-18.95000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-18.90000E-03,+3.82874990E+00,+3.93750000E+00,+4.00000000E+00
-18.85000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-18.80000E-03,+3.95374990E+00,+4.00000000E+00,+3.93750000E+00
-18.75000E-03,+3.95374990E+00,+3.87500000E+00,+3.87500000E+00
-18.70000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-18.65000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-18.60000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-18.55000E-03,+3.82874990E+00,+4.00000000E+00,+3.93750000E+00
-18.50000E-03,+3.89124990E+00,+3.87500000E+00,+3.87500000E+00
-18.45000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-18.40000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-18.35000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-18.30000E-03,+3.95374990E+00,+3.93750000E+00,+4.00000000E+00
-18.25000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-18.20000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-18.15000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-18.10000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-18.05000E-03,+3.89124990E+00,+4.00000000E+00,+3.93750000E+00
-18.00000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-17.95000E-03,+3.82874990E+00,+3.93750000E+00,+3.93750000E+00
-17.90000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-17.85000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-17.80000E-03,+3.82874990E+00,+3.93750000E+00,+3.87500000E+00
-17.75000E-03,+3.89124990E+00,+3.87500000E+00,+3.93750000E+00
-17.70000E-03,+3.82874990E+00,+3.87500000E+00,+3.93750000E+00
-17.65000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-17.60000E-03,+3.82874990E+00,+4.00000000E+00,+3.87500000E+00
-17.55000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-17.50000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-17.45000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-17.40000E-03,+3.89124990E+00,+4.00000000E+00,+4.00000000E+00
-17.35000E-03,+3.95374990E+00,+3.93750000E+00,+3.93750000E+00
-17.30000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
-17.25000E-03,+3.89124990E+00,+3.93750000E+00,+3.87500000E+00
-17.20000E-03,+3.89124990E+00,+3.93750000E+00,+4.00000000E+00
-17.15000E-03,+3.89124990E+00,+3.93750000E+00,+3.93750000E+00
