x-axis,1,2,3
second,Volt,Volt,Volt
-58.4000E-03,-1.5374999E+00,-2.3125000E+00,-4.1875000E+00
-58.2000E-03,-1.4749999E+00,-2.6250000E+00,-4.1875000E+00
-58.0000E-03,-1.4749999E+00,-2.4687500E+00,-4.5000000E+00
-57.8000E-03,-1.4124999E+00,-2.4687500E+00,-4.1875000E+00
-57.6000E-03,-1.4749999E+00,-2.4687500E+00,-4.8125000E+00
-57.4000E-03,-1.4749999E+00,-2.3125000E+00,-4.5000000E+00
-57.2000E-03,-1.5374999E+00,-2.6250000E+00,-4.1875000E+00
-57.0000E-03,-1.4124999E+00,-2.4687500E+00,-4.8125000E+00
-56.8000E-03,-1.4749999E+00,-2.4687500E+00,-4.5000000E+00
-56.6000E-03,-1.4749999E+00,-2.6250000E+00,-4.8125000E+00
-56.4000E-03,-1.4124999E+00,-2.6250000E+00,-4.5000000E+00
-56.2000E-03,-1.4749999E+00,-2.6250000E+00,-4.8125000E+00
-56.0000E-03,-1.4124999E+00,-2.4687500E+00,-4.8125000E+00
-55.8000E-03,-1.4124999E+00,-2.6250000E+00,-4.5000000E+00
-55.6000E-03,-1.4749999E+00,-2.6250000E+00,-4.5000000E+00
-55.4000E-03,-1.4124999E+00,-2.6250000E+00,-4.8125000E+00
-55.2000E-03,-1.4749999E+00,-2.7812500E+00,-4.8125000E+00
-55.0000E-03,-1.4749999E+00,-2.6250000E+00,-4.8125000E+00
-54.8000E-03,-1.4749999E+00,-2.6250000E+00,-4.8125000E+00
-54.6000E-03,-1.4124999E+00,-2.7812500E+00,-5.1250000E+00
-54.4000E-03,-1.4124999E+00,-2.7812500E+00,-4.8125000E+00
-54.2000E-03,-1.4749999E+00,-2.6250000E+00,-5.1250000E+00
-54.0000E-03,-1.4124999E+00,-2.6250000E+00,-5.1250000E+00
-53.8000E-03,-1.4749999E+00,-2.6250000E+00,-5.1250000E+00
-53.6000E-03,-1.4749999E+00,-2.6250000E+00,-5.1250000E+00
-53.4000E-03,-1.4749999E+00,-2.6250000E+00,-5.1250000E+00
-53.2000E-03,-1.4124999E+00,-2.7812500E+00,-5.1250000E+00
-53.0000E-03,-1.4749999E+00,-2.7812500E+00,-5.1250000E+00
-52.8000E-03,-1.5374999E+00,-2.7812500E+00,-5.4375000E+00
-52.6000E-03,-1.4749999E+00,-2.6250000E+00,-5.1250000E+00
